open_ms,open,high,low,close
1777451564000,77017.33,77017.34,77017.33,77017.33
1777451565000,77017.34,77017.34,77017.34,77017.34
1777451566000,77017.34,77017.34,77017.33,77017.33
1777451567000,77017.33,77017.33,77017.33,77017.33
1777451568000,77017.33,77017.34,77017.33,77017.34
1777451569000,77017.33,77017.34,77017.33,77017.34
1777451570000,77017.33,77017.34,77017.33,77017.33
1777451571000,77017.34,77017.34,77017.33,77017.33
1777451572000,77017.34,77017.34,77017.33,77017.33
1777451573000,77017.33,77017.33,77017.33,77017.33
1777451574000,77017.34,77017.34,77017.34,77017.34
1777451575000,77017.33,77017.34,77017.33,77017.33
1777451576000,77017.33,77017.33,77017.33,77017.33
1777451577000,77017.33,77017.33,77017.32,77017.32
1777451578000,77017.33,77017.33,77017.33,77017.33
1777451579000,77017.32,77017.32,77017.32,77017.32
1777451580000,77017.32,77017.32,77017.32,77017.32
1777451581000,77017.32,77017.33,77017.32,77017.32
1777451582000,77017.32,77017.32,77014.5,77014.5
1777451583000,77014.5,77014.5,77008.32,77008.33
1777451584000,77008.33,77008.33,77008.33,77008.33
1777451585000,77008.33,77008.33,77008.32,77008.33
1777451586000,77008.33,77008.33,77008.33,77008.33
1777451587000,77008.33,77008.33,77008.32,77008.33
1777451588000,77008.33,77008.33,77008.33,77008.33
1777451589000,77008.33,77008.33,77008.32,77008.32
1777451590000,77008.32,77008.32,77008.32,77008.32
1777451591000,77008.33,77008.33,77008.33,77008.33
1777451592000,77008.33,77008.33,77008.32,77008.32
1777451593000,77008.32,77008.32,77008.32,77008.32
1777451594000,77008.32,77008.32,77008.32,77008.32
1777451595000,77008.33,77008.33,77008.32,77008.32
1777451596000,77008.32,77008.32,77008.32,77008.32
1777451597000,77008.33,77008.33,77008.32,77008.32
1777451598000,77008.32,77008.32,77008.32,77008.32
1777451599000,77008.32,77008.33,77008.32,77008.32
1777451600000,77008.32,77008.33,77008.32,77008.33
1777451601000,77008.32,77008.33,77008.32,77008.32
1777451602000,77008.32,77008.33,77008.32,77008.33
1777451603000,77008.32,77008.33,77008.32,77008.33
1777451604000,77008.32,77008.32,77008.32,77008.32
1777451605000,77008.32,77008.32,77008.32,77008.32
1777451606000,77008.32,77008.32,77008.32,77008.32
1777451607000,77008.33,77008.33,77008.32,77008.32
1777451608000,77008.32,77008.32,77008.32,77008.32
1777451609000,77008.33,77008.33,77008.32,77008.32
